,BRL,MXN,COP,CLP,PEN,CZK,PLN,HUF,RON,ILS,ZAR,CNY,INR,IDR,KRW,MYR,THB,PHP
2022-10-31,3.01,3.055,2.96,2.996,2.023,2.0,2.5,3.247,2.549,1.922,4.5,2.0,3.999,3.036,2.0,2.435,2.017,3.0
2022-11-30,3.01,3.055,2.96,2.996,2.023,2.0,2.5,3.247,2.549,1.922,4.5,2.0,3.999,3.036,2.0,2.435,2.017,3.0
2022-12-31,3.01,3.055,2.96,2.996,2.023,2.0,2.5,3.247,2.549,1.922,4.5,2.0,3.999,3.036,2.0,2.435,2.017,3.0
2023-01-31,3.01,3.055,2.96,2.996,2.023,2.0,2.5,3.247,2.549,1.922,4.5,2.0,3.999,3.036,2.0,2.435,2.017,3.0
2023-02-28,3.01,3.055,2.96,2.996,2.023,2.0,2.5,3.247,2.549,1.922,4.5,2.0,3.999,3.036,2.0,2.435,2.017,3.0
2023-03-31,3.01,3.055,2.96,2.996,2.023,2.0,2.5,3.247,2.549,1.922,4.5,2.0,3.999,3.036,2.0,2.435,2.017,3.0
2023-04-30,2.97,3.017,2.96,3.041,2.023,2.0,2.5,3.141,2.547,2.15,4.5,2.2,4.0,2.462,2.0,2.431,2.543,3.0
2023-05-31,2.97,3.017,2.96,3.041,2.023,2.0,2.5,3.141,2.547,2.15,4.5,2.2,4.0,2.462,2.0,2.431,2.543,3.0
2023-06-30,2.97,3.017,2.96,3.041,2.023,2.0,2.5,3.141,2.547,2.15,4.5,2.2,4.0,2.462,2.0,2.431,2.543,3.0
2023-07-31,2.97,3.017,2.96,3.041,2.023,2.0,2.5,3.141,2.547,2.15,4.5,2.2,4.0,2.462,2.0,2.431,2.543,3.0
2023-08-31,2.97,3.017,2.96,3.041,2.023,2.0,2.5,3.141,2.547,2.15,4.5,2.2,4.0,2.462,2.0,2.431,2.543,3.0
2023-09-30,2.97,3.017,2.96,3.041,2.023,2.0,2.5,3.141,2.547,2.15,4.5,2.2,4.0,2.462,2.0,2.431,2.543,3.0
2023-10-31,2.995,3.0,2.955,3.0,2.017,2.0,2.5,3.141,2.524,2.144,4.5,2.222,4.0,2.278,2.0,1.823,2.1,3.0
2023-11-30,2.995,3.0,2.955,3.0,2.017,2.0,2.5,3.141,2.524,2.144,4.5,2.222,4.0,2.278,2.0,1.823,2.1,3.0
2023-12-31,2.995,3.0,2.955,3.0,2.017,2.0,2.5,3.141,2.524,2.144,4.5,2.222,4.0,2.278,2.0,1.823,2.1,3.0
2024-01-31,2.995,3.0,2.955,3.0,2.017,2.0,2.5,3.141,2.524,2.144,4.5,2.222,4.0,2.278,2.0,1.823,2.1,3.0
2024-02-29,2.995,3.0,2.955,3.0,2.017,2.0,2.5,3.141,2.524,2.144,4.5,2.222,4.0,2.278,2.0,1.823,2.1,3.0
2024-03-31,2.995,3.0,2.955,3.0,2.017,2.0,2.5,3.141,2.524,2.144,4.5,2.222,4.0,2.278,2.0,1.823,2.1,3.0
2024-04-30,3.0,3.0,3.003,3.0,2.018,2.0,2.5,3.0,2.964,1.998,4.5,2.018,4.0,2.512,2.0,2.039,1.9,3.0
2024-05-31,3.0,3.0,3.003,3.0,2.018,2.0,2.5,3.0,2.964,1.998,4.5,2.018,4.0,2.512,2.0,2.039,1.9,3.0
2024-06-30,3.0,3.0,3.003,3.0,2.018,2.0,2.5,3.0,2.964,1.998,4.5,2.018,4.0,2.512,2.0,2.039,1.9,3.0
2024-07-31,3.0,3.0,3.003,3.0,2.018,2.0,2.5,3.0,2.964,1.998,4.5,2.018,4.0,2.512,2.0,2.039,1.9,3.0
2024-08-31,3.0,3.0,3.003,3.0,2.018,2.0,2.5,3.0,2.964,1.998,4.5,2.018,4.0,2.512,2.0,2.039,1.9,3.0
2024-09-30,3.0,3.0,3.003,3.0,2.018,2.0,2.5,3.0,2.964,1.998,4.5,2.018,4.0,2.512,2.0,2.039,1.9,3.0
2024-10-31,2.967,3.002,2.989,3.0,2.018,2.0,2.5,3.0,3.016,2.138,4.5,2.012,4.0,2.521,2.0,2.0,2.0,3.0
2024-11-30,2.967,3.002,2.989,3.0,2.018,2.0,2.5,3.0,3.016,2.138,4.5,2.012,4.0,2.521,2.0,2.0,2.0,3.0
2024-12-31,2.967,3.002,2.989,3.0,2.018,2.0,2.5,3.0,3.016,2.138,4.5,2.012,4.0,2.521,2.0,2.0,2.0,3.0
2025-01-31,2.967,3.002,2.989,3.0,2.018,2.0,2.5,3.0,3.016,2.138,4.5,2.012,4.0,2.521,2.0,2.0,2.0,3.0
2025-02-28,2.967,3.002,2.989,3.0,2.018,2.0,2.5,3.0,3.016,2.138,4.5,2.012,4.0,2.521,2.0,2.0,2.0,3.0
2025-03-31,2.967,3.002,2.989,3.0,2.018,2.0,2.5,3.0,3.016,2.138,4.5,2.012,4.0,2.521,2.0,2.0,2.0,3.0
2025-04-30,2.963,3.0,3.026,3.0,2.018,2.0,2.5,2.977,2.84,2.044,4.5,1.922,4.0,2.519,2.0,2.021,1.7,3.0
2025-05-31,2.963,3.0,3.026,3.0,2.018,2.0,2.5,2.977,2.84,2.044,4.5,1.922,4.0,2.519,2.0,2.021,1.7,3.0
2025-06-30,2.963,3.0,3.026,3.0,2.018,2.0,2.5,2.977,2.84,2.044,4.5,1.922,4.0,2.519,2.0,2.021,1.7,3.0
